month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
3,2557,67061.00,7776.12,8,27,32,30,1
4,2557,67061.00,7776.12,8,29,33,31,1
5,2557,67061.00,7776.12,8,29,33,31,1
6,2557,67061.00,7776.12,8,28,32,30,0
7,2557,61645.00,7776.12,8,27,32,30,0
8,2557,61645.00,7776.12,8,27,31,29,1
9,2557,34138.00,7776.12,8,28,31,29,1
10,2557,46553.00,7776.12,8,27,29,29,1
11,2557,55644.00,7776.12,8,26,31,29,1
12,2557,31296.00,7776.12,8,24,29,27,1
1,2558,35174.00,7776.12,8,23,29,26,1
2,2558,29968.00,7776.12,8,26,31,28,1
3,2558,29968.00,7776.12,8,27,31,30,1
4,2558,29310.00,7776.12,8,27,33,30,1
5,2558,31863.00,7776.12,8,29,32,31,1
6,2558,26661.00,7776.12,8,29,33,30,0
7,2558,28629.00,7776.12,8,28,32,30,0
8,2558,28068.00,7776.12,8,27,32,30,1
9,2558,31850.00,7776.12,8,26,31,29,1
10,2558,28068.00,7776.12,8,27,30,29,1
11,2558,28068.00,7776.12,8,28,31,29,1
12,2558,28068.00,7776.12,8,24,31,28,1
1,2559,28068.00,7776.12,8,18,31,27,1
2,2559,28068.00,7776.12,8,20,30,28,1
3,2559,28068.00,7776.12,8,27,33,31,1
4,2559,28068.00,7776.12,8,29,34,32,1
5,2559,28068.00,7776.12,8,29,34,32,1
6,2559,28068.00,7776.12,8,27,32,29,0
7,2559,28068.00,7776.12,8,28,31,29,0
8,2559,28068.00,7776.12,8,29,31,30,1
9,2559,28068.00,7776.12,8,27,31,29,1
10,2559,28068.00,7776.12,8,27,30,29,1
11,2559,28068.00,7776.12,8,27,31,29,1
12,2559,28068.00,7776.12,8,24,30,27,1
1,2560,28068.00,7776.12,8,26,29,27,1
2,2560,28068.00,7776.12,8,24,31,28,1
3,2560,27711.00,7776.12,8,27,32,30,1
4,2560,58850.00,7776.12,8,28,33,31,1
5,2560,56996.00,7776.12,8,27,32,30,1
6,2560,61031.00,7776.12,8,28,31,29,0
7,2560,53404.00,7776.12,8,27,31,29,0
8,2560,51036.00,7776.12,8,27,31,29,1
9,2560,64950.00,7776.12,8,28,31,29,1
10,2560,49549.00,7776.12,8,26,31,28,1
11,2560,48275.00,7776.12,8,25,30,28,1
12,2560,42656.00,7776.12,8,20,29,26,1
1,2561,55142.00,7776.12,8,22,30,27,1
2,2561,53331.00,7776.12,8,23,30,27,1
3,2561,52513.00,7776.12,8,24,31,29,1
4,2561,52864.00,7776.12,8,24,32,29,1
5,2561,52312.00,7776.12,8,28,31,29,1
6,2561,54833.00,7776.12,8,26,31,30,0
7,2561,54604.00,7776.12,8,27,30,29,0
8,2561,48841.00,7776.12,8,27,30,29,1
9,2561,45574.00,7776.12,8,27,31,29,1
10,2561,59016.00,7776.12,8,27,31,29,1
11,2561,56651.00,7776.12,8,26,31,29,1
12,2561,44077.00,7776.12,8,26,30,28,1
1,2556,17400.00,1157.22,2,26,30,28,1
2,2556,20760.00,1157.22,2,28,32,30,1
3,2556,15720.00,1157.22,2,24,34,31,0
4,2556,16800.00,1157.22,2,29,34,32,0
5,2556,22320.00,1157.22,2,30,34,32,0
6,2556,20760.00,1157.22,2,28,32,30,1
7,2556,20760.00,1157.22,2,28,32,30,1
8,2556,540.00,1157.22,2,28,31,30,1
9,2556,2640.00,1157.22,2,24,32,29,1
10,2556,3240.00,1157.22,2,26,31,29,0
11,2556,3360.00,1157.22,2,26,31,30,1
12,2556,6120.00,1157.22,2,21,30,25,1
1,2557,7200.00,1157.22,2,21,28,25,1
2,2557,14400.00,1157.22,2,24,29,28,1
